gene	scaffold	length	FB	FLM	RPKM_FB	RPKM_FLM	log2ratio	pval	padj
GSTUMT00000195001 	scaffold_103	2427	557	19888	3.096806607	128.5565467	5.375023412	0.190503572	1
GSTUMT00000196001 	scaffold_103	2895	12303	3329	57.34441438	18.04006466	-1.668393647	0.69287234	1
GSTUMT00000197001 	scaffold_103	1114	390	258	4.723980347	3.633351192	-0.378610493	0.960220441	1
GSTUMT00000199001 	scaffold_103	1904	4806	6872	34.06006625	56.62250379	0.733277426	0.805155398	1
GSTUMT00000200001 	scaffold_103	2485	1274	5440	6.91785892	34.34356458	2.311475766	0.516234076	1
GSTUMT00000201001 	scaffold_103	1142	1315	3849	15.53775664	52.87552226	1.766756224	0.607185444	1
GSTUMT00000202001 	scaffold_103	5327	5295	6410	13.4125679	18.87766155	0.493063451	0.855075688	1
GSTUMT00000203001 	scaffold_103	1617	79	63	0.659243319	0.611228213	-0.108928268	0.988919297	1
GSTUMT00000204001 	scaffold_103	2138	2999	4868	18.927682	35.72035213	0.91621273	0.768047994	1
GSTUMT00000208001 	scaffold_103	1394	1747	486	16.91059144	5.469484026	-1.628272036	0.702306518	1
GSTUMT00000209001 	scaffold_103	529	1264	347	32.24185852	10.29074142	-1.647492538	0.699436117	1
GSTUMT00000210001 	scaffold_103	1788	1592	1582	12.01445887	13.88071468	0.208294036	0.915789273	1
GSTUMT00000215001 	scaffold_106	1432	1014	7638	9.554844049	83.6776546	3.130404442	0.399778393	1
GSTUMT00000217001 	scaffold_106	937	128	1509	1.843312825	25.26518669	3.776052655	0.327684329	1
GSTUMT00000218001 	scaffold_106	2134	4843	16858	30.6230695	123.9322964	2.016825926	0.563499807	1
GSTUMT00000219001 	scaffold_106	1147	242	8081	2.846955075	110.5285701	5.278362188	0.197280382	1
GSTUMT00000220001 	scaffold_106	2671	2634	734	13.3067056	4.31116887	-1.625776274	0.702089478	1
GSTUMT00000222001 	scaffold_106	2025	1787	883	11.9077084	6.840825917	-0.799563647	0.869414707	1
GSTUMT00000225001 	scaffold_106	872	51877	3393	802.7624215	61.043614	-3.717038965	0.372263497	1
GSTUMT00000226001 	scaffold_106	403	1621	1508	54.27585014	58.70419786	0.113151249	0.936098149	1
GSTUMT00000227001 	scaffold_106	1504	8386	4126	75.23773067	43.03821494	-0.805823747	0.867417079	1
GSTUMT00000228001 	scaffold_106	815	1146	510	18.97385926	9.817150076	-0.950566061	0.83848613	1
GSTUMT00000231001 	scaffold_106	1241	7	4	0.076112314	0.050566288	-0.580533064	0.987683841	1
GSTUMT00000236001 	scaffold_108	704	1785	1391	34.21324184	30.99754746	-0.142396364	0.990879682	1
GSTUMT00000237001 	scaffold_108	1053	2404	1743	30.80596078	25.96820188	-0.246454686	0.987115769	1
GSTUMT00000238001 	scaffold_108	974	1559	828	21.59811376	13.33657288	-0.695475963	0.8914661	1
GSTUMT00000239001 	scaffold_108	1347	1581	1318	15.83773019	15.35043466	-0.04508319	0.970016535	1
GSTUMT00000241001 	scaffold_108	3846	471	498	1.652495529	2.031388201	0.297656849	0.898086882	1
GSTUMT00000242001 	scaffold_108	1932	2045	1253	14.28284938	10.17458752	-0.489272731	0.935110209	1
GSTUMT00000245001 	scaffold_108	547	8486	8906	209.3362148	255.4278379	0.287092606	0.898570423	1
GSTUMT00000247001 	scaffold_108	1491	1285	574	11.62931543	6.039585193	-0.945129999	0.839423292	1
GSTUMT00000248001 	scaffold_108	1188	590	215	6.701379873	2.839192781	-1.2386846	0.781781774	1
GSTUMT00000249001 	scaffold_108	753	184	114	3.297247235	2.375104584	-0.473101209	0.942754627	1
GSTUMT00000250001 	scaffold_108	3301	1785	2980	7.296613832	14.16262	0.956693328	0.760179634	1
GSTUMT00000252001 	scaffold_108	678	680	179	13.53343012	4.141867484	-1.707932563	0.690483624	1
GSTUMT00000253001 	scaffold_108	898	410	168	6.160786888	2.934984472	-1.069504448	0.817342379	1
GSTUMT00000254001 	scaffold_108	1014	244	216	3.246986907	3.34186313	0.04153847	0.953628626	1
GSTUMT00000255001 	scaffold_108	1775	1581	1319	12.01882962	11.65787249	-0.043988171	0.969781722	1
GSTUMT00000257001 	scaffold_108	734	969	909	17.81379225	19.42856327	0.125177814	0.933831004	1
GSTUMT00000258001 	scaffold_108	3414	51	141	0.201574377	0.647930552	1.679612389	0.643748938	1
GSTUMT00000259001 	scaffold_108	1677	128	99	1.029924936	0.926136488	-0.153085645	0.996021479	1
GSTUMT00000260001 	scaffold_108	2895	1792	2993	8.352531136	16.2192591	0.957338789	0.760049879	1
GSTUMT00000261001 	scaffold_108	4757	2367	3784	6.714192251	12.47931764	0.894154044	0.772597387	1
GSTUMT00000262001 	scaffold_108	1170	4	2	0.046132054	0.02681742	-0.760719938	0.995213275	1
GSTUMT00000264001 	scaffold_108	2018	2837	1460	18.96997855	11.35022724	-0.740945813	0.881457265	1
GSTUMT00000266001 	scaffold_108	1500	54	1028	0.485770533	10.7516401	4.465305283	0.263805814	1
GSTUMT00000267001 	scaffold_108	1401	1621	201	15.61253933	2.250768274	-2.793667335	0.501721926	1
GSTUMT00000268001 	scaffold_108	544	863	126	21.40624846	3.633661841	-2.558206323	0.541573304	1
GSTUMT00000269001 	scaffold_108	1103	7294	16082	89.23164771	228.73752	1.358055786	0.681277467	1
GSTUMT00000270001 	scaffold_108	814	15113	24687	250.527234	475.791605	0.925359648	0.765878637	1
GSTUMT00000273001 	scaffold_108	641	579	510	12.18847021	12.48202389	0.034332031	0.953677738	1
GSTUMT00000274001 	scaffold_108	2009	1615	1649	10.84729012	12.87696697	0.247437188	0.907445077	1
GSTUMT00000275001 	scaffold_108	1562	864	641	7.463823809	6.437983551	-0.213275245	0.994546687	1
GSTUMT00000276001 	scaffold_108	1310	27262	29828	280.8116257	357.2117217	0.347175658	0.885728143	1
GSTUMT00000277001 	scaffold_108	2462	1439	3275	7.886810598	20.86873472	1.403715447	0.673344278	1
GSTUMT00000279001 	scaffold_108	3304	2046	4034	8.35591968	19.1544073	1.196708527	0.712686311	1
GSTUMT00000280001 	scaffold_108	1910	2623	1114	18.53077527	9.150075685	-1.017987849	0.82356786	1
GSTUMT00000281001 	scaffold_108	1915	629	176	4.432110026	1.441838946	-1.619408898	0.707467911	1
GSTUMT00000282001 	scaffold_108	2582	3798	2963	19.84848614	18.00314073	-0.140772913	0.990405425	1
GSTUMT00000283001 	scaffold_108	1494	901	1191	8.137722188	12.5064493	0.619913395	0.829599938	1
GSTUMT00000284001 	scaffold_108	2094	308	610	1.984735808	4.570103339	1.202868742	0.714924751	1
GSTUMT00000285001 	scaffold_108	1786	2191	1107	16.55349069	9.723867426	-0.767472138	0.876012091	1
GSTUMT00000287001 	scaffold_108	493	71	122	1.943301095	3.882270342	0.998020494	0.767931947	1
GSTUMT00000288001 	scaffold_108	1953	26519	86404	183.2245088	694.0719091	1.921466849	0.579455926	1
GSTUMT00000289001 	scaffold_108	317	1766	5813	75.172692	287.6828175	1.936184305	0.577555003	1
GSTUMT00000296001 	scaffold_108	2535	284	201	1.511711937	1.243915721	-0.281089207	0.981244578	1
GSTUMT00000297001 	scaffold_108	2003	1763	1702	11.87681602	13.3306544	0.166586232	0.924638774	1
GSTUMT00000298001 	scaffold_108	1605	2269	1440	19.07603564	14.07538614	-0.438560014	0.945914832	1
GSTUMT00000301001 	scaffold_108	1665	110	84	0.891470781	0.791476293	-0.17143716	1	1
GSTUMT00000304001 	scaffold_107	3310	4101	4858	16.71823561	23.0251453	0.461764026	0.861714369	1
GSTUMT00000305001 	scaffold_107	1918	81	440	0.569855943	3.598959309	2.65678197	0.47396162	1
GSTUMT00000318001 	scaffold_107	920	181	53	2.654724229	0.90377621	-1.553472444	0.732434576	1
GSTUMT00000319001 	scaffold_107	1560	419	183	3.624249525	1.84034546	-0.977319979	0.835823566	1
GSTUMT00000320001 	scaffold_107	483	625	373	17.46069606	12.11531091	-0.527243191	0.928100261	1
GSTUMT00000321001 	scaffold_107	1501	143	268	1.285535314	2.801089365	1.123011909	0.735067661	1
GSTUMT00000322001 	scaffold_107	3360	10	12	0.040159601	0.056029253	0.470473138	0.925046671	1
GSTUMT00000323001 	scaffold_107	1572	12	363	0.103004778	3.622654747	5.122723793	0.224046084	1
GSTUMT00000324001 	scaffold_107	708	38	33	0.724234159	0.731229233	0.013848492	0.970858611	1
GSTUMT00000326001 	scaffold_107	648	3	1	0.06247049	0.024210171	-1.332080084	0.983910221	1
GSTUMT00000328001 	scaffold_107	1878	294	1194	2.11242067	9.974281056	2.23877753	0.530442189	1
GSTUMT00000329001 	scaffold_107	2037	153	394	1.013512403	3.034436513	1.581117496	0.647445328	1
GSTUMT00000330001 	scaffold_107	1210	367	293	4.092694802	3.798875956	-0.107451225	0.984373201	1
GSTUMT00000331001 	scaffold_107	962	7	207	0.098186467	3.375733365	5.08934116	0.23954141	1
GSTUMT00000332001 	scaffold_107	725	8	1216	0.148895183	26.31288279	7.455726316	0.100324972	1
GSTUMT00000333001 	scaffold_107	1435	1	1040	0.009403224	11.36983863	10.0940923	0.049892837	1
GSTUMT00000334001 	scaffold_107	1929	1	951	0.00699514	7.734302466	9.918118613	0.052300366	1
GSTUMT00000335001 	scaffold_107	865	307	742	4.789067232	13.45738448	1.490387432	0.660337426	1
GSTUMT00000339001 	scaffold_109	1606	6575	518	55.24320697	5.060076487	-3.448307005	0.406697609	1
GSTUMT00000342001 	scaffold_109	770	18	7	0.315435411	0.142619916	-1.139655227	0.883764634	1
GSTUMT00000343001 	scaffold_109	792	224	222	3.816379047	4.397447423	0.204411921	0.919670216	1
GSTUMT00000344001 	scaffold_109	898	177	20	2.659656778	0.349402913	-2.924695741	0.512509783	1
GSTUMT00000345001 	scaffold_109	917	436	158	6.415726171	2.703090673	-1.24669389	0.781709708	1
GSTUMT00000346001 	scaffold_109	1537	1264	126	11.09690511	1.286084607	-3.108108574	0.45689445	1
GSTUMT00000347001 	scaffold_109	1703	8	6	0.063387556	0.055272545	-0.194350659	1	1
GSTUMT00000349001 	scaffold_109	1301	57	77	0.591188837	0.928509371	0.650412115	0.840303978	1
GSTUMT00000352001 	scaffold_109	156	0	0	0	0	0	NA	NA
GSTUMT00000358001 	scaffold_109	1521	5	4	0.044357745	0.04125757	-0.102139114	1	1
GSTUMT00000359001 	scaffold_109	3243	739	634	3.074865726	3.067009859	-0.003689407	0.961562212	1
GSTUMT00000370001 	scaffold_110	1464	826	10	7.613206971	0.107159773	-6.137457848	0.178056133	1
GSTUMT00000372001 	scaffold_110	1108	3356	402	40.87058535	5.691924823	-2.843856251	0.492191013	1
GSTUMT00000373001 	scaffold_110	1974	99	34624	0.676731999	275.1711847	8.66540404	0.062339098	1
GSTUMT00000392001 	scaffold_193	1944	606	562	4.20634635	4.535372034	0.108628376	0.937800215	1
GSTUMT00000393001 	scaffold_193	2057	473	672	3.102812376	5.125164911	0.723838542	0.809290106	1
GSTUMT00000394001 	scaffold_193	881	548	784	8.393311012	13.96088717	0.734010136	0.806892649	1
GSTUMT00000395001 	scaffold_193	867	102	223	1.587485402	4.035140196	1.345324456	0.695571283	1
GSTUMT00000397001 	scaffold_193	3436	13223	934	51.92846783	4.264484928	-3.60577177	0.386217656	1
GSTUMT00000398001 	scaffold_193	2929	48826	2574	224.936763	13.78675423	-4.028066491	0.336564134	1
GSTUMT00000400001 	scaffold_193	1648	420	18	3.438909517	0.171351599	-4.318944032	0.324857779	1
GSTUMT00000401001 	scaffold_193	1395	68	132	0.657753808	1.484473969	1.173112022	0.734290841	1
GSTUMT00000402001 	scaffold_193	3892	9512	31823	32.97825532	128.274742	1.959617643	0.573032326	1
GSTUMT00000404001 	scaffold_193	1237	912	628	9.948412962	7.96457868	-0.320832232	0.971541885	1
GSTUMT00000405001 	scaffold_193	963	1668	1267	23.3721371	20.64064149	-0.17929368	0.99882309	1
GSTUMT00000406001 	scaffold_193	3646	1501	887	5.555110394	3.816627879	-0.541398781	0.92415162	1
GSTUMT00000407001 	scaffold_193	936	0	1	0	0.016760888	4.150631778	0.992783999	1
GSTUMT00000408001 	scaffold_193	1017	182	65	2.414788512	1.002686728	-1.267185117	0.785576681	1
GSTUMT00000409001 	scaffold_193	787	17739	30034	304.146671	598.7028243	0.977070529	0.755483329	1
GSTUMT00000410001 	scaffold_193	942	1218	753	17.44717236	12.54056017	-0.476359097	0.938166563	1
GSTUMT00000412001 	scaffold_193	3680	1618	1570	5.932795307	6.693059665	0.17392625	0.923108621	1
GSTUMT00000413001 	scaffold_193	1814	8973	3587	66.74658508	31.02179737	-1.105386859	0.80497032	1
GSTUMT00000421001 	scaffold_194	1215	148	202	1.643668013	2.608242422	0.665834594	0.826310828	1
GSTUMT00000422001 	scaffold_194	1929	558	928	3.903288367	7.547247832	0.951082179	0.762818807	1
GSTUMT00000423001 	scaffold_194	5434	2185	2311	5.425758672	6.671956009	0.29823524	0.896497585	1
GSTUMT00000424001 	scaffold_194	1159	4946	4154	57.58367021	56.22842503	-0.034359504	0.967474059	1
GSTUMT00000425001 	scaffold_194	1747	1022	1635	7.89380978	14.68242242	0.895211861	0.773072432	1
GSTUMT00000431001 	scaffold_194	2684	1111	214	5.585476301	1.250846808	-2.157880556	0.606769602	1
GSTUMT00000432001 	scaffold_194	761	196	1705	3.475362259	35.14896889	3.337873079	0.376598148	1
GSTUMT00000434001 	scaffold_196	1406	5056	1484	48.52330912	16.55851718	-1.551047063	0.715927554	1
GSTUMT00000435001 	scaffold_196	2636	3752	2844	19.20640532	16.92610571	-0.182327328	1	1
GSTUMT00000437001 	scaffold_196	2654	3137	974	15.94932347	5.757459625	-1.469830831	0.732179589	1
GSTUMT00000438001 	scaffold_196	1415	1425	1635	13.58898723	18.12734415	0.415703054	0.871879014	1
GSTUMT00000440001 	scaffold_196	1350	96	22	0.959546732	0.255659406	-1.904000673	0.687825286	1
GSTUMT00000441001 	scaffold_196	72	0	0	0	0	0	NA	NA
GSTUMT00000442001 	scaffold_196	4143	3297	5415	10.73822946	20.50484027	0.933144379	0.764595223	1
GSTUMT00000446001 	scaffold_197	545	379	158	9.383640774	4.54813605	-1.044708941	0.822758918	1
GSTUMT00000447001 	scaffold_197	1878	3963	1122	28.47456842	9.372816872	-1.603016126	0.706041272	1
GSTUMT00000448001 	scaffold_197	3940	4201	5047	14.38749301	20.09601498	0.482065734	0.857438176	1
GSTUMT00000449001 	scaffold_197	1165	67	61	0.776028271	0.82144175	0.081946413	0.951802969	1
GSTUMT00000450001 	scaffold_197	102	0	0	0	0	0	NA	NA
GSTUMT00000455001 	scaffold_197	1066	512	204	6.480991058	3.002242894	-1.10991587	0.808163759	1
GSTUMT00000456001 	scaffold_197	3490	519	504	2.006645229	2.265572541	0.175007981	0.923889799	1
GSTUMT00000457001 	scaffold_197	1854	376	195	2.736571383	1.650052431	-0.729510648	0.887022179	1
GSTUMT00000458001 	scaffold_197	1916	334	1957	2.352229152	16.02389844	2.767601495	0.450117266	1
GSTUMT00000459001 	scaffold_197	984	4943	3674	67.78352937	58.57562299	-0.210631018	0.99472787	1
GSTUMT00000460001 	scaffold_197	821	2677	878	43.9980957	16.7773831	-1.39087018	0.747955809	1
